subject,fs,n_channels,floor_samples,floor_s,naive_boundary_uv,overlap_boundary_uv,interior_uv,db_reduction,fallback_shift_ms,theory_shift_ms
chb01,256,4,606,2.367,12.8896,0.04861,6e-05,48.47,390.6,392.6
chb02,256,4,606,2.367,8.3235,0.03066,4e-05,48.67,390.6,392.6
chb03,256,4,606,2.367,23.5267,0.05548,4e-05,52.55,369.1,392.6
chb04,256,4,606,2.367,19.1623,0.03393,6e-05,55.04,392.6,392.6
chb05,256,4,606,2.367,37.3006,0.10401,0.0001,51.09,390.6,392.6
chb06,256,4,606,2.367,27.4653,0.11752,0.00011,47.37,390.6,392.6
chb07,256,4,606,2.367,24.6595,0.06761,0.00011,51.24,390.6,392.6
chb09,256,4,606,2.367,15.4717,0.05682,8e-05,48.7,390.6,392.6
chb10,256,4,606,2.367,36.0348,0.08771,6e-05,52.27,390.6,392.6
chb11,256,4,606,2.367,15.1687,0.04736,5e-05,50.11,390.6,392.6
